Product_ID,Product_Category,Product_Type,Manufacturer,Manufacturing_Date,Original_Price_INR,Material_Type,Material_Weight_KG,Customer_Region,Usage_Months,Return_Date,Return_Reason,Product_Condition,Collection_Channel,Inspection_Result,Refurbishment_Status,Refurbishment_Cost_INR,Resale_Price_INR,Resale_Channel,Resale_Date,Recycle_Status,Recycled_Weight_KG,Waste_Weight_KG,Carbon_Saved_KG,Lifecycle_Status,Circularity_Rate_Pct,Profit_Margin_INR
EC100000,Electronics,Smartphone,CircularX,2023-07-18,74922.74,Glass,7.61,Chennai,34,2026-05-03,Defect,Fair,Retailer,Passed,Refurbished,8379.29,21653.02,Online Marketplace,2026-07-18,Recycled,4.66,2.12,29.77,Resold,80.62,7279.91
EC100001,Electronics,Laptop,GreenMotion,2024-10-31,130956.19,Steel,0.31,Kolkata,80,2031-05-28,Upgrade,Poor,Corporate Buyback,Failed,Not Refurbished,0.0,0.0,N/A,,Recycled,0.27,0.03,0.55,Recycled,53.55,0.0
EC100002,Home Appliance,Microwave,CircularX,2023-07-24,56072.7,Lithium,48.65,Bengaluru,3,2023-10-22,Defect,Good,Collection Center,Passed,Not Refurbished,0.0,29315.22,B2B Reseller,2023-12-11,Recycled,38.66,7.41,142.93,Resold,74.73,24829.4
EC100003,Automotive,Electric Motor,TerraMotive,2022-03-30,110126.14,Plastic,59.32,Delhi,61,2027-04-03,Warranty Return,Good,Manufacturer Take-Back,Passed,Refurbished,11200.72,65866.85,Export Market,2027-06-19,Not Recycled,0.0,42.35,44.83,Resold,40.0,45856.04
EC100004,Home Appliance,Washing Machine,GreenMotion,2025-09-16,23781.97,Aluminum,85.55,Bengaluru,32,2028-05-03,End of Use,Poor,Manufacturer Take-Back,Failed,Not Refurbished,0.0,0.0,N/A,,Recycled,74.72,8.57,133.97,Recycled,53.67,0.0
EC100005,Industrial Equipment,Control Panel,TerraMotive,2025-07-25,84825.92,Copper,8.2,Hyderabad,49,2029-08-03,Defect,Good,Online Platform,Passed,Refurbished,3743.08,57455.15,Export Market,2029-10-31,Recycled,5.36,2.55,23.55,Resold,82.68,46926.0
EC100006,Home Appliance,Refrigerator,GreenMotion,2024-02-17,88805.89,Copper,19.08,Delhi,37,2027-03-03,Customer Return,Poor,Corporate Buyback,Failed,Not Refurbished,0.0,0.0,N/A,,Recycled,16.41,2.62,68.67,Recycled,53.0,0.0
EC100007,Electronics,Laptop,NovaWorks,2022-03-07,166874.87,Mixed Materials,0.84,Pune,43,2025-09-17,Trade-In,Good,Online Platform,Failed,Not Refurbished,0.0,76980.52,Manufacturer Outlet,2025-12-05,Not Recycled,0.0,0.67,0.76,Resold,25.0,63630.53
EC100008,Industrial Equipment,Pump,CircularX,2023-06-27,150885.38,Steel,22.05,Delhi,20,2025-02-16,Defect,Good,Corporate Buyback,Passed,Refurbished,15861.6,73214.27,Retail Store,2025-04-18,Not Recycled,0.0,20.74,43.67,Resold,40.0,45281.84
EC100009,Home Appliance,Vacuum Cleaner,CircularX,2022-07-06,119253.04,Copper,20.29,Kolkata,9,2023-04-02,Upgrade,Excellent,Retailer,Passed,Refurbished,16439.67,94373.45,Export Market,2023-06-02,Not Recycled,0.0,18.64,12.4,Resold,40.0,68393.54
EC100010,Industrial Equipment,Sensor Module,NovaWorks,2025-02-07,70939.17,Plastic,7.84,Bengaluru,4,2025-06-07,Customer Return,Fair,Manufacturer Take-Back,Passed,Refurbished,8143.52,23603.2,B2B Reseller,2025-07-18,Not Recycled,0.0,5.64,7.74,Resold,40.0,9784.55
EC100011,Industrial Equipment,Power Supply,TerraMotive,2022-01-07,134033.05,Copper,38.62,Pune,36,2024-12-22,Warranty Return,Fair,Retailer,Passed,Not Refurbished,0.0,49331.36,Retail Store,2025-03-19,Not Recycled,0.0,28.42,63.38,Resold,25.0,38608.72
EC100012,Automotive,Starter Battery,NovaWorks,2024-12-22,131377.99,Lithium,58.28,Pune,3,2025-03-22,Warranty Return,Good,Online Platform,Passed,Not Refurbished,0.0,76288.99,Online Marketplace,2025-05-14,Not Recycled,0.0,48.27,38.57,Resold,25.0,65778.75
EC100013,Home Appliance,Vacuum Cleaner,GreenMotion,2022-06-25,19242.94,Aluminum,58.37,Mumbai,65,2027-10-27,Upgrade,Good,Corporate Buyback,Passed,Not Refurbished,0.0,11105.92,Export Market,2028-01-02,Not Recycled,0.0,56.75,65.12,Resold,25.0,9566.48
EC100014,Industrial Equipment,Power Supply,ReGen Industries,2025-11-13,138443.69,Lithium,14.5,Coimbatore,28,2028-03-02,Customer Return,Excellent,Online Platform,Passed,Refurbished,10351.46,94452.41,Online Marketplace,2028-04-25,Not Recycled,0.0,14.19,21.03,Resold,40.0,73025.45
